Waste type,Month,Value,Source_Sheet
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,10,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,10,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,12,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,12,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,10,NOv 2025
Dry waste,L H Hostel,38,NOv 2025
TOTAL (Kg),L H Hostel,48,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,11,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,11,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,11,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,11,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,10,NOv 2025
Dry waste,L H Hostel,33,NOv 2025
TOTAL (Kg),L H Hostel,43,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,8,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,8,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,9,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,9,NOv 2025
Waste type,L H Hostel,L H Hostel,NOv 2025
Wet waste,L H Hostel,15,NOv 2025
Dry waste,L H Hostel,0,NOv 2025
TOTAL (Kg),L H Hostel,15,NOv 2025
Wet waste,Hostel no -25,10,NOv 2025
Dry waste,Hostel no -25,12,NOv 2025
TOTAL (Kg),Hostel no -25,22,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,8,NOv 2025
Dry waste,Hostel no -25,8,NOv 2025
TOTAL (Kg),Hostel no -25,16,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,30,NOv 2025
Dry waste,Hostel no -25,10,NOv 2025
TOTAL (Kg),Hostel no -25,40,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,23,NOv 2025
Dry waste,Hostel no -25,11,NOv 2025
TOTAL (Kg),Hostel no -25,34,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,19,NOv 2025
Dry waste,Hostel no -25,10,NOv 2025
TOTAL (Kg),Hostel no -25,29,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,25,NOv 2025
Dry waste,Hostel no -25,15,NOv 2025
TOTAL (Kg),Hostel no -25,40,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,11,NOv 2025
Dry waste,Hostel no -25,4,NOv 2025
TOTAL (Kg),Hostel no -25,15,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,27,NOv 2025
Dry waste,Hostel no -25,12,NOv 2025
TOTAL (Kg),Hostel no -25,39,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,10,NOv 2025
Dry waste,Hostel no -25,9,NOv 2025
TOTAL (Kg),Hostel no -25,19,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,22,NOv 2025
Dry waste,Hostel no -25,8,NOv 2025
TOTAL (Kg),Hostel no -25,30,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,19,NOv 2025
Dry waste,Hostel no -25,7,NOv 2025
TOTAL (Kg),Hostel no -25,26,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,11,NOv 2025
Dry waste,Hostel no -25,7,NOv 2025
TOTAL (Kg),Hostel no -25,18,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,40,NOv 2025
Dry waste,Hostel no -25,10,NOv 2025
TOTAL (Kg),Hostel no -25,50,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,20,NOv 2025
Dry waste,Hostel no -25,10,NOv 2025
TOTAL (Kg),Hostel no -25,30,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,25,NOv 2025
Dry waste,Hostel no -25,10,NOv 2025
TOTAL (Kg),Hostel no -25,35,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,30,NOv 2025
Dry waste,Hostel no -25,5,NOv 2025
TOTAL (Kg),Hostel no -25,35,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,22,NOv 2025
Dry waste,Hostel no -25,3,NOv 2025
TOTAL (Kg),Hostel no -25,25,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,28,NOv 2025
Dry waste,Hostel no -25,6,NOv 2025
TOTAL (Kg),Hostel no -25,34,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,19,NOv 2025
Dry waste,Hostel no -25,8,NOv 2025
TOTAL (Kg),Hostel no -25,27,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,13,NOv 2025
Dry waste,Hostel no -25,6,NOv 2025
TOTAL (Kg),Hostel no -25,19,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,14,NOv 2025
Dry waste,Hostel no -25,3,NOv 2025
TOTAL (Kg),Hostel no -25,17,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,12,NOv 2025
Dry waste,Hostel no -25,4,NOv 2025
TOTAL (Kg),Hostel no -25,16,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,11,NOv 2025
Dry waste,Hostel no -25,5,NOv 2025
TOTAL (Kg),Hostel no -25,16,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,10,NOv 2025
Dry waste,Hostel no -25,4,NOv 2025
TOTAL (Kg),Hostel no -25,14,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,5,NOv 2025
Dry waste,Hostel no -25,3,NOv 2025
TOTAL (Kg),Hostel no -25,8,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,6,NOv 2025
Dry waste,Hostel no -25,4,NOv 2025
TOTAL (Kg),Hostel no -25,10,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,6,NOv 2025
Dry waste,Hostel no -25,4,NOv 2025
TOTAL (Kg),Hostel no -25,10,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,9,NOv 2025
Dry waste,Hostel no -25,5,NOv 2025
TOTAL (Kg),Hostel no -25,14,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,8,NOv 2025
Dry waste,Hostel no -25,5,NOv 2025
TOTAL (Kg),Hostel no -25,13,NOv 2025
Waste type,Hostel no -25,Hostel no -25,NOv 2025
Wet waste,Hostel no -25,6,NOv 2025
Dry waste,Hostel no -25,4,NOv 2025
TOTAL (Kg),Hostel no -25,10,NOv 2025
Wet waste,Hostel no -26,11,NOv 2025
Dry waste,Hostel no -26,8,NOv 2025
TOTAL (Kg),Hostel no -26,19,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,20,NOv 2025
Dry waste,Hostel no -26,9,NOv 2025
TOTAL (Kg),Hostel no -26,29,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,14,NOv 2025
Dry waste,Hostel no -26,5,NOv 2025
TOTAL (Kg),Hostel no -26,19,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,17,NOv 2025
Dry waste,Hostel no -26,7,NOv 2025
TOTAL (Kg),Hostel no -26,24,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,15,NOv 2025
Dry waste,Hostel no -26,12,NOv 2025
TOTAL (Kg),Hostel no -26,27,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,16,NOv 2025
Dry waste,Hostel no -26,6,NOv 2025
TOTAL (Kg),Hostel no -26,22,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,10,NOv 2025
Dry waste,Hostel no -26,5,NOv 2025
TOTAL (Kg),Hostel no -26,15,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,12,NOv 2025
Dry waste,Hostel no -26,5,NOv 2025
TOTAL (Kg),Hostel no -26,17,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,15,NOv 2025
Dry waste,Hostel no -26,8,NOv 2025
TOTAL (Kg),Hostel no -26,23,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,8,NOv 2025
Dry waste,Hostel no -26,6,NOv 2025
TOTAL (Kg),Hostel no -26,14,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,4,NOv 2025
Dry waste,Hostel no -26,2,NOv 2025
TOTAL (Kg),Hostel no -26,6,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,11,NOv 2025
Dry waste,Hostel no -26,4,NOv 2025
TOTAL (Kg),Hostel no -26,15,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,12,NOv 2025
Dry waste,Hostel no -26,11,NOv 2025
TOTAL (Kg),Hostel no -26,23,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,7,NOv 2025
Dry waste,Hostel no -26,4,NOv 2025
TOTAL (Kg),Hostel no -26,11,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,6,NOv 2025
Dry waste,Hostel no -26,6,NOv 2025
TOTAL (Kg),Hostel no -26,12,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,9,NOv 2025
Dry waste,Hostel no -26,7,NOv 2025
TOTAL (Kg),Hostel no -26,16,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,24,NOv 2025
Dry waste,Hostel no -26,7,NOv 2025
TOTAL (Kg),Hostel no -26,31,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,10,NOv 2025
Dry waste,Hostel no -26,6,NOv 2025
TOTAL (Kg),Hostel no -26,16,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,8,NOv 2025
Dry waste,Hostel no -26,5,NOv 2025
TOTAL (Kg),Hostel no -26,13,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,4,NOv 2025
Dry waste,Hostel no -26,3,NOv 2025
TOTAL (Kg),Hostel no -26,7,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,8,NOv 2025
Dry waste,Hostel no -26,2,NOv 2025
TOTAL (Kg),Hostel no -26,10,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,4,NOv 2025
Dry waste,Hostel no -26,6,NOv 2025
TOTAL (Kg),Hostel no -26,10,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,9,NOv 2025
Dry waste,Hostel no -26,3,NOv 2025
TOTAL (Kg),Hostel no -26,12,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,9,NOv 2025
Dry waste,Hostel no -26,3,NOv 2025
TOTAL (Kg),Hostel no -26,12,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,6,NOv 2025
Dry waste,Hostel no -26,4,NOv 2025
TOTAL (Kg),Hostel no -26,10,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,20,NOv 2025
Dry waste,Hostel no -26,8,NOv 2025
TOTAL (Kg),Hostel no -26,28,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,3,NOv 2025
Dry waste,Hostel no -26,2,NOv 2025
TOTAL (Kg),Hostel no -26,5,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,5,NOv 2025
Dry waste,Hostel no -26,4,NOv 2025
TOTAL (Kg),Hostel no -26,9,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,9,NOv 2025
Dry waste,Hostel no -26,8,NOv 2025
TOTAL (Kg),Hostel no -26,17,NOv 2025
Waste type,Hostel no -26,Hostel no -26,NOv 2025
Wet waste,Hostel no -26,19,NOv 2025
Dry waste,Hostel no -26,14,NOv 2025
TOTAL (Kg),Hostel no -26,33,NOv 2025
Wet waste,Hostel no -27,4,NOv 2025
Dry waste,Hostel no -27,15,NOv 2025
TOTAL (Kg),Hostel no -27,19,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,7,NOv 2025
Dry waste,Hostel no -27,12,NOv 2025
TOTAL (Kg),Hostel no -27,19,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,7,NOv 2025
Dry waste,Hostel no -27,11,NOv 2025
TOTAL (Kg),Hostel no -27,18,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,7,NOv 2025
Dry waste,Hostel no -27,12,NOv 2025
TOTAL (Kg),Hostel no -27,19,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,6,NOv 2025
Dry waste,Hostel no -27,15,NOv 2025
TOTAL (Kg),Hostel no -27,21,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,8,NOv 2025
Dry waste,Hostel no -27,16,NOv 2025
TOTAL (Kg),Hostel no -27,24,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,10,NOv 2025
Dry waste,Hostel no -27,14,NOv 2025
TOTAL (Kg),Hostel no -27,24,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,10,NOv 2025
Dry waste,Hostel no -27,15,NOv 2025
TOTAL (Kg),Hostel no -27,25,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,12,NOv 2025
Dry waste,Hostel no -27,11,NOv 2025
TOTAL (Kg),Hostel no -27,23,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,8,NOv 2025
Dry waste,Hostel no -27,12,NOv 2025
TOTAL (Kg),Hostel no -27,20,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,9,NOv 2025
Dry waste,Hostel no -27,13,NOv 2025
TOTAL (Kg),Hostel no -27,22,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,8,NOv 2025
Dry waste,Hostel no -27,12,NOv 2025
TOTAL (Kg),Hostel no -27,20,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,9,NOv 2025
Dry waste,Hostel no -27,18,NOv 2025
TOTAL (Kg),Hostel no -27,27,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,7,NOv 2025
Dry waste,Hostel no -27,13,NOv 2025
TOTAL (Kg),Hostel no -27,20,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,5,NOv 2025
Dry waste,Hostel no -27,12,NOv 2025
TOTAL (Kg),Hostel no -27,17,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,7,NOv 2025
Dry waste,Hostel no -27,17,NOv 2025
TOTAL (Kg),Hostel no -27,24,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,8,NOv 2025
Dry waste,Hostel no -27,17,NOv 2025
TOTAL (Kg),Hostel no -27,25,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,9,NOv 2025
Dry waste,Hostel no -27,12,NOv 2025
TOTAL (Kg),Hostel no -27,21,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,11,NOv 2025
Dry waste,Hostel no -27,12,NOv 2025
TOTAL (Kg),Hostel no -27,23,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,11,NOv 2025
Dry waste,Hostel no -27,12,NOv 2025
TOTAL (Kg),Hostel no -27,23,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,8,NOv 2025
Dry waste,Hostel no -27,13,NOv 2025
TOTAL (Kg),Hostel no -27,21,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,8,NOv 2025
Dry waste,Hostel no -27,12,NOv 2025
TOTAL (Kg),Hostel no -27,20,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,8,NOv 2025
Dry waste,Hostel no -27,13,NOv 2025
TOTAL (Kg),Hostel no -27,21,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,13,NOv 2025
Dry waste,Hostel no -27,10,NOv 2025
TOTAL (Kg),Hostel no -27,23,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,10,NOv 2025
Dry waste,Hostel no -27,15,NOv 2025
TOTAL (Kg),Hostel no -27,25,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,11,NOv 2025
Dry waste,Hostel no -27,14,NOv 2025
TOTAL (Kg),Hostel no -27,25,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,13,NOv 2025
Dry waste,Hostel no -27,15,NOv 2025
TOTAL (Kg),Hostel no -27,28,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,10,NOv 2025
Dry waste,Hostel no -27,16,NOv 2025
TOTAL (Kg),Hostel no -27,26,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,11,NOv 2025
Dry waste,Hostel no -27,15,NOv 2025
TOTAL (Kg),Hostel no -27,26,NOv 2025
Waste type,Hostel no -27,Hostel no -27,NOv 2025
Wet waste,Hostel no -27,12,NOv 2025
Dry waste,Hostel no -27,9,NOv 2025
TOTAL (Kg),Hostel no -27,21,NOv 2025
Wet waste,Hostel no -28,6,NOv 2025
Dry waste,Hostel no -28,7,NOv 2025
TOTAL (Kg),Hostel no -28,13,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,8,NOv 2025
Dry waste,Hostel no -28,4,NOv 2025
TOTAL (Kg),Hostel no -28,12,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,8,NOv 2025
Dry waste,Hostel no -28,6,NOv 2025
TOTAL (Kg),Hostel no -28,14,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,7,NOv 2025
Dry waste,Hostel no -28,4,NOv 2025
TOTAL (Kg),Hostel no -28,11,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,11,NOv 2025
Dry waste,Hostel no -28,3,NOv 2025
TOTAL (Kg),Hostel no -28,14,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,5,NOv 2025
Dry waste,Hostel no -28,5,NOv 2025
TOTAL (Kg),Hostel no -28,10,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,5,NOv 2025
Dry waste,Hostel no -28,4,NOv 2025
TOTAL (Kg),Hostel no -28,9,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,5,NOv 2025
Dry waste,Hostel no -28,3,NOv 2025
TOTAL (Kg),Hostel no -28,8,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,7,NOv 2025
Dry waste,Hostel no -28,8,NOv 2025
TOTAL (Kg),Hostel no -28,15,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,9,NOv 2025
Dry waste,Hostel no -28,4,NOv 2025
TOTAL (Kg),Hostel no -28,13,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,10,NOv 2025
Dry waste,Hostel no -28,5,NOv 2025
TOTAL (Kg),Hostel no -28,15,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,9,NOv 2025
Dry waste,Hostel no -28,5,NOv 2025
TOTAL (Kg),Hostel no -28,14,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,9,NOv 2025
Dry waste,Hostel no -28,5,NOv 2025
TOTAL (Kg),Hostel no -28,14,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,9,NOv 2025
Dry waste,Hostel no -28,5,NOv 2025
TOTAL (Kg),Hostel no -28,14,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,9,NOv 2025
Dry waste,Hostel no -28,3,NOv 2025
TOTAL (Kg),Hostel no -28,12,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,8,NOv 2025
Dry waste,Hostel no -28,5,NOv 2025
TOTAL (Kg),Hostel no -28,13,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,7,NOv 2025
Dry waste,Hostel no -28,5,NOv 2025
TOTAL (Kg),Hostel no -28,12,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,7,NOv 2025
Dry waste,Hostel no -28,6,NOv 2025
TOTAL (Kg),Hostel no -28,13,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,10,NOv 2025
Dry waste,Hostel no -28,3,NOv 2025
TOTAL (Kg),Hostel no -28,13,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,8,NOv 2025
Dry waste,Hostel no -28,14,NOv 2025
TOTAL (Kg),Hostel no -28,22,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,9,NOv 2025
Dry waste,Hostel no -28,14,NOv 2025
TOTAL (Kg),Hostel no -28,23,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,10,NOv 2025
Dry waste,Hostel no -28,4,NOv 2025
TOTAL (Kg),Hostel no -28,14,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,10,NOv 2025
Dry waste,Hostel no -28,10,NOv 2025
TOTAL (Kg),Hostel no -28,20,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,7,NOv 2025
Dry waste,Hostel no -28,7,NOv 2025
TOTAL (Kg),Hostel no -28,14,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,9,NOv 2025
Dry waste,Hostel no -28,6,NOv 2025
TOTAL (Kg),Hostel no -28,15,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,9,NOv 2025
Dry waste,Hostel no -28,8,NOv 2025
TOTAL (Kg),Hostel no -28,17,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,8,NOv 2025
Dry waste,Hostel no -28,9,NOv 2025
TOTAL (Kg),Hostel no -28,17,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,10,NOv 2025
Dry waste,Hostel no -28,8,NOv 2025
TOTAL (Kg),Hostel no -28,18,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,6,NOv 2025
Dry waste,Hostel no -28,4,NOv 2025
TOTAL (Kg),Hostel no -28,10,NOv 2025
Waste type,Hostel no -28,Hostel no -28,NOv 2025
Wet waste,Hostel no -28,9,NOv 2025
Dry waste,Hostel no -28,7,NOv 2025
TOTAL (Kg),Hostel no -28,16,NOv 2025
Wet waste,Hostel no -29,12,NOv 2025
Dry waste,Hostel no -29,17,NOv 2025
TOTAL (Kg),Hostel no -29,29,NOv 2025
Waste type,Hostel no -29,Hostel no -29,NOv 2025
Wet waste,Hostel no -29,20,NOv 2025
Dry waste,Hostel no -29,5,NOv 2025
TOTAL (Kg),Hostel no -29,25,NOv 2025
Waste type,Hostel no -29,Hostel no -29,NOv 2025
Wet waste,Hostel no -29,18,NOv 2025
Dry waste,Hostel no -29,8,NOv 2025
TOTAL (Kg),Hostel no -29,26,NOv 2025
Waste type,Hostel no -29,Hostel no -29,NOv 2025
Wet waste,Hostel no -29,30,NOv 2025
Dry waste,Hostel no -29,10,NOv 2025
TOTAL (Kg),Hostel no -29,40,NOv 2025
Waste type,Hostel no -29,Hostel no -29,NOv 2025
Wet waste,Hostel no -29,23,NOv 2025
Dry waste,Hostel no -29,20,NOv 2025
TOTAL (Kg),Hostel no -29,43,NOv 2025
Waste type,Hostel no -29,Hostel no -29,NOv 2025
Wet waste,Hostel no -29,24,NOv 2025
Dry waste,Hostel no -29,18,NOv 2025
TOTAL (Kg),Hostel no -29,42,NOv 2025
Waste type,Hostel no -29,Hostel no -29,NOv 2025
Wet waste,Hostel no -29,28,NOv 2025
Dry waste,Hostel no -29,12,NOv 2025
TOTAL (Kg),Hostel no -29,40,NOv 2025
Waste type,Hostel no -29,Hostel no -29,NOv 2025
Wet waste,Hostel no -29,19,NOv 2025
Dry waste,Hostel no -29,18,NOv 2025
TOTAL (Kg),Hostel no -29,37,NOv 2025
Waste type,Hostel no -29,Hostel no -29,NOv 2025
Wet waste,Hostel no -29,15,NOv 2025
Dry waste,Hostel no -29,12,NOv 2025
TOTAL (Kg),Hostel no -29,27,NOv 2025
Waste type,Hostel no -29,Hostel no -29,NOv 2025
Wet waste,Hostel no -29,16,NOv 2025
Dry waste,Hostel no -29,11,NOv 2025
TOTAL (Kg),Hostel no -29,27,NOv 2025
Waste type,Hostel no -29,Hostel no -29,NOv 2025
Wet waste,Hostel no -29,18,NOv 2025
Dry waste,Hostel no -29,20,NOv 2025
TOTAL (Kg),Hostel no -29,38,NOv 2025
